Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Iraq,121,0.65,34.8,51,69.4,10.1,6.4,14003.22,66.7,1.2,2.7,892,11.3,94.9,121,2.9,66.4,5,20,68.1,5.5,4.1,1.07
Ireland,6,0.92,4.7,5.3,80.9,18.6,12.2,39568.12,189.8,21.5,2.2,8260,79.7,104.3,6,1.1,63.1,0.4,35.9,32.9,19.2,2,1.07
Israel,18,0.89,7.8,9.6,82.4,16,12.5,30675.51,64.5,4.1,-2,2962,71.5,121.5,18,1.3,92.1,0.8,30.1,45.8,17.8,2.9,1.05
Italy,27,0.87,61.1,61.2,83.1,16,10.1,33030.23,54.8,0.6,3,47700,62,154.3,27,0.2,68.9,2.9,45,21.8,33.8,1.5,1.06
Jamaica,99,0.72,2.8,2.9,75.7,12.4,9.7,7414.6,83.4,4.6,-5.8,2008,40.5,102.9,99,0.5,52.3,0.2,28.2,39.5,12.3,2.3,1.05
Japan,20,0.89,127,120.6,83.5,15.3,11.5,36926.92,35.1,0.1,0.6,10400,90.6,120.2,20,-0.1,93,5.4,46.5,21.2,43.6,1.4,1.06
Jordan,80,0.75,7.5,9.4,74,13.5,9.9,11365.22,113.8,5.3,11.3,3945,44,147.8,80,3.5,83.4,1,24,53,5.8,3.3,1.05
Kazakhstan,56,0.79,16.6,18.6,69.4,15,11.4,20867.35,64.9,4.2,0,4926,54.9,168.6,56,1,53.3,1.6,29.7,39.4,10.1,2.4,1.07
Kenya,145,0.55,45.5,66.3,61.6,11,6.3,2761.6,50.9,0.9,-0.2,1434,43.4,73.8,145,2.7,25.2,7.1,19,75.4,5,4.4,1.03
Kiribati,137,0.59,0.1,0.1,66,12.3,7.8,2433.51,121,5.3,-2,5.9,12.3,17.4,137,1.5,44.3,0,24.1,47.8,6.7,3,1.07
Korea (Republic of),17,0.9,49.5,52.2,81.9,16.9,11.9,33890.45,102.8,0.9,1.2,12200,84.3,115.5,17,0.5,84,2.4,40.5,19.5,17.9,1.3,1.07
Kuwait,48,0.82,3.5,4.8,74.4,14.7,7.2,83960.62,98.1,1,18.3,300,78.7,218.4,48,3.6,98.3,0.3,29.7,33.6,3.3,2.6,1.04
Kyrgyzstan,120,0.66,5.6,6.9,70.6,12.5,10.6,3044.23,143.1,10.5,-6.3,3076,28.3,134.5,120,1.4,35.6,0.7,25.1,47.6,6.3,3.1,1.06
Lao People's Democratic Republic,141,0.58,6.9,8.8,66.2,10.6,5,4680.09,83.4,3.8,-2.2,2510,14.3,67,141,1.9,37.6,0.9,22,55.6,6.2,3.1,1.05
Latvia,46,0.82,2,1.9,74.2,15.2,11.5,22280.51,121.5,2.8,-1,1536,75.8,124.2,46,-0.6,67.7,0.1,41.7,23.5,28.2,1.6,1.05
Lebanon,67,0.77,5,5.2,79.3,13.8,7.9,16509.28,138.7,6.8,21.3,1274,74.7,88.4,67,3,87.6,0.3,30.7,27.1,12.3,1.5,1.05
Lesotho,161,0.5,2.1,2.4,49.8,11.1,5.9,3305.9,150.6,1.9,-1.9,433,11,101.9,161,1.1,29.8,0.3,21.2,59.2,6.9,3.1,1.03
Liberia,177,0.43,4.4,6.4,60.9,9.5,4.1,804.95,121.9,35.9,-0.9,0,5.4,73.4,177,2.6,49.3,0.7,18.6,77.4,5.5,4.8,1.05
Libya,94,0.72,6.3,7.5,71.6,14,7.3,14910.92,94.8,0.9,-7.7,34,17.8,161.1,94,0.9,78.2,0.6,27.2,44.7,7.6,2.4,1.06
