district,address,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,瑞金二路358号,31.21278,121.56217,4200,1,1,1,0,19,0,detached lane house,residential,0,1,0,0,1,1,0,0,3
Xuhui,枫林路1弄12号,31.21278,121.56217,4200,1,0,1,0,35,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,华山路803弄8号,31.21278,121.56217,4200,1,0,1,0,22,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,进贤路138弄,31.21278,121.56217,4200,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,余姚路487弄,31.21278,121.56217,4200,1,0,1,0,38,0,public housing,residential,1,1,1,0,0,1,0,0,4
Huangpu,重庆南路39弄,31.21278,121.56217,4200,1,0,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,淮海中路1487弄,31.21278,121.56217,4200,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,来福士广场北海路268号,31.21278,121.56217,4200,1,1,1,0,38,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,延安东路1318弄8号,31.21278,121.56217,4200,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,东湖路56弄53号,31.21278,121.56217,4200,1,1,1,0,32,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,海海中路1487弄,31.21278,121.56217,4200,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,长乐路169弄,31.21278,121.56217,4300,1,1,2,0,30,0,attached lane house,residential,1,0,0,0,0,0,1,0,2
Xuhui,永嘉路371号,31.21278,121.56217,4300,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,汾阳路64弄,31.21278,121.56217,4300,1,1,1,1,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,泰康路274弄,31.21278,121.56217,4300,1,1,1,0,16,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Pudong,崂山四村28号,31.21278,121.56217,4300,1,1,1,0,36,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,长宁路491弄24号,31.21278,121.56217,4300,1,0,1,0,36,0,public housing,residential,0,0,0,0,0,0,0,0,0
Changning,万航渡路1424弄64号,31.21278,121.56217,4300,1,0,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,福州路298号,31.21278,121.56217,4300,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,陕西南路582弄,31.21278,121.56217,4300,1,0,1,0,25,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Xuhui,高安路100弄，2号,31.21278,121.56217,4300,1,1,1,0,50,0,detached lane house,residential,1,1,0,0,1,0,0,0,3
Huangpu,蓬莱路388弄28号,31.21278,121.56217,4300,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,南昌路24弄14号,31.21278,121.56217,4400,1,0,1,0,20,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,永康路50号,31.21278,121.56217,4488,1,0,1,0,20,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Pudong,柳埠路142弄1号,31.21278,121.56217,4499,1,1,1,0,40,0,public housing,residential,0,1,1,0,1,0,0,0,3
Huangpu,静修路50弄1号,31.21278,121.56217,4500,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,龙华西路31弄47号,31.21278,121.56217,4500,1,1,1,0,34,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,常熟路163弄9号,31.21278,121.56217,4500,1,0,1,0,20,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,愚谷村31号,31.21278,121.56217,4500,1,0,1,0,25,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Changning,长宁支路328弄1号,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,平望街15弄,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,山西南路339号,31.21278,121.56217,4500,2,1,1,0,45,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Minhang,闵行漕宝路1467弄,31.21278,121.56217,4500,2,1,1,0,71,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,平望街15弄11号,31.21278,121.56217,4500,1,0,1,0,36,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,陕西南路222弄5号,31.223028,121.457237,4500,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,华山路1006弄23号,31.21278,121.56217,4500,1,1,1,0,32,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,永嘉路166弄4号,31.20525693,121.4495566,4500,1,0,1,0,35,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,复兴中路616弄,31.21278,121.56217,4500,1,1,1,0,35,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,梦花街73弄1号,31.21278,121.56217,4500,2,2,1,1,40,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Pudong,蓝村路501弄24号,31.21278,121.56217,4500,1,1,1,0,37,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,建国东路151号,31.21278,121.56217,4500,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,江西中路481号,31.21278,121.56217,4500,1,1,1,0,35,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,永康路142弄38号,31.211342,121.458633,4500,1,0,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,建国西路611号,31.21278,121.56217,4500,1,0,1,0,23,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,襄阳南路444弄30号,31.21278,121.56217,4500,1,0,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,自忠路49号,31.21278,121.56217,4500,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,淮海中路1487弄37号,31.21278,121.56217,4500,1,0,1,0,20,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,淮海中路1487弄7号,31.21278,121.56217,4500,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,淮海中路927弄29号,31.21278,121.56217,4500,1,0,1,0,15,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Xuhui,安福路228弄,31.21278,121.56217,4500,1,1,1,0,30,0,detached lane house,multi-use,1,1,0,1,0,0,0,0,3
Huangpu,平望街15弄11号,31.21278,121.56217,4500,1,0,1,0,30,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Jing'an,南京西路591弄101号,31.21278,121.56217,4500,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,北海路267弄9号,31.21278,121.56217,4500,2,1,1,0,38,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
